,station_code,station_name,longitude,latitude
0,S06,Paya Lebar,103.90373333,1.35713333
1,S07,Macritchie Reservoir,103.83390000,1.34180000
2,S08,Lower Peirce Reservoir,103.82706667,1.37003333
3,S101,Jurong (North),103.71340000,1.35053333
4,S102,Semakau Island,103.76571667,1.19016667
5,S104,Admiralty,103.78538333,1.44386667
6,S105,Admiralty West,103.79525000,1.45816667
7,S106,Pulau Ubin,103.96730000,1.41680000
8,S107,East Coast Parkway,103.96198333,1.31331667
9,S108,Marina Barrage,103.87030000,1.27991667
10,S109,Ang Mo Kio,103.85001667,1.37926667
11,S11,Choa Chu Kang (West),103.69373333,1.37425000
12,S110,Serangoon North,103.87076667,1.36531667
13,S111,Newton,103.83650000,1.31055000
14,S112,Lim Chu Kang,103.70173333,1.43880000
15,S113,Marine Parade,103.91121667,1.30501667
16,S114,Choa Chu Kang (Central),103.73810000,1.38208333
17,S115,Tuas South,103.61840000,1.29380000
18,S116,Pasir Panjang,103.75450000,1.28235000
19,S117,Jurong Island,103.67900000,1.25600000
20,S118,Dhoby Ghaut,103.84606667,1.29940000
21,S119,Nicoll Highway,103.86218333,1.29503333
22,S120,Botanic Garden,103.81801667,1.30871667
23,S121,Choa Chu Kang (South),103.71140000,1.38580000
24,S122,Khatib,103.82513333,1.41725000
25,S123,Whampoa,103.85765000,1.32141667
26,S23,Tengah,103.71166667,1.38500000
27,S24,Changi,103.98226667,1.36776667
28,S25,Seletar,103.86500000,1.41666667
29,S29,Pasir Ris (West),103.94133333,1.38650000
30,S31,Kampong Bahru,103.82816667,1.27431667
31,S33,Jurong Pier,103.70986667,1.30818333
32,S35,Ulu Pandan,103.75498333,1.33246667
33,S36,Serangoon,103.86615000,1.33765000
34,S39,Jurong (East),103.73675000,1.32516667
35,S40,Mandai,103.78320000,1.40665000
36,S43,Tai Seng,103.88816667,1.34061667
37,S44,Jurong (West),103.68333333,1.34523333
38,S46,Upper Thomson,103.81078333,1.34155000
39,S50,Clementi,103.77611667,1.33178333
40,S55,Buangkok,103.88603333,1.38358333
41,S60,Sentosa Island,103.82753333,1.25040000
42,S61,Chai Chee,103.92065000,1.32710000
43,S63,Boon Lay (West),103.70416667,1.32746667
44,S64,Bukit Panjang,103.76066667,1.38228333
45,S66,Kranji Reservoir,103.73601667,1.43866667
46,S69,Upper Peirce Reservoir,103.80463333,1.37035000
47,S71,Kent Ridge,103.78150000,1.29230000
48,S72,Tanjong Pagar,103.84823333,1.27388333
49,S77,Queenstown,103.81268333,1.29360000
50,S78,Tanjong Katong,103.89066667,1.30703333
51,S79,Somerset (Road),103.83720000,1.30040000
52,S80,Sembawang,103.82000000,1.42500000
53,S81,Punggol,103.90948333,1.40285000
54,S82,Tuas West,103.63520000,1.32480000
55,S84,Simei,103.94405000,1.34428333
56,S86,Boon Lay (East),103.72046667,1.32686667
57,S88,Toa Payoh,103.85150000,1.34171667
58,S89,Tuas,103.66131667,1.31985000
59,S90,Bukit Timah,103.81928333,1.31910000
60,S91,Yishun,103.83061667,1.42993333
61,S92,Buona Vista,103.78875000,1.28408333
62,S94,Pasir Ris (Central),103.94898333,1.36793333
